Timeout,Transitions,Energy
447.0,20,1.0436494999
448.0,20,1.0439197999
449.0,20,1.0441900999
450.0,20,1.0444603999
451.0,20,1.0447306999
452.0,20,1.0450009999
453.0,20,1.0452712999
454.0,20,1.0455415999
455.0,20,1.0458118999
456.0,20,1.0460821999
457.0,20,1.0463524999
458.0,20,1.0466227999
459.0,20,1.0468930999
460.0,20,1.0471633999
461.0,20,1.0474336999
462.0,20,1.0477039999
463.0,20,1.0479742999
464.0,20,1.0482445999
465.0,20,1.0485148999
466.0,20,1.0487851999
467.0,20,1.0490554999
468.0,20,1.0493257999
469.0,20,1.0495960999
470.0,20,1.0498663999
471.0,20,1.0501366999
472.0,20,1.0504069999
473.0,20,1.0506772999
474.0,20,1.0509475999
475.0,20,1.0512178999
476.0,20,1.0514881999
477.0,20,1.0517584999
478.0,20,1.0520287999
479.0,20,1.0522990999
480.0,20,1.0525693999
481.0,20,1.0528396999
482.0,20,1.0531099999
483.0,20,1.0533802999
484.0,20,1.0536505999
485.0,20,1.0539208999
486.0,20,1.0541911999
487.0,20,1.0544614999
488.0,20,1.0547317999
489.0,20,1.0550020999
490.0,20,1.0552723999
491.0,20,1.0555426999
492.0,20,1.0558129999
493.0,20,1.0560832999
494.0,20,1.0563535999
495.0,20,1.0566238999
496.0,20,1.0568941999
497.0,20,1.0571644999
498.0,20,1.0574347999
499.0,20,1.0577050999
500.0,20,1.0579753999
501.0,20,1.0582456999
502.0,20,1.0585159999
503.0,20,1.0587862999
504.0,20,1.0590565999
505.0,20,1.0593268999
506.0,20,1.0595971999
507.0,20,1.0598674999
508.0,20,1.0601377999
509.0,20,1.0604080999
510.0,20,1.0606783999
511.0,20,1.0609486999
512.0,20,1.0612189999
513.0,20,1.0614892999
514.0,20,1.0617595999
515.0,20,1.0620298999
516.0,20,1.0623001999
517.0,20,1.0625704999
518.0,20,1.0628407999
519.0,20,1.0631110999
520.0,20,1.0633813999
521.0,20,1.0636516999
522.0,20,1.0639219999
523.0,20,1.0641922999
524.0,20,1.0644625999
525.0,20,1.0647328999
526.0,20,1.0650031999
527.0,20,1.0652734999
528.0,20,1.0655437999
529.0,20,1.0658140999
530.0,20,1.0660843999
531.0,20,1.0663546999
532.0,20,1.0666249999
533.0,20,1.0668952999
534.0,20,1.0671655999
535.0,20,1.0674358999
536.0,20,1.0677061999
537.0,20,1.0679764999
538.0,20,1.0682467999
539.0,20,1.0685170999
540.0,20,1.0687873999
541.0,20,1.0690576999
542.0,20,1.0693279999
543.0,20,1.0695982999
544.0,20,1.0698685999
545.0,20,1.0701388999
546.0,20,1.0704091999
547.0,20,1.0706794999
548.0,20,1.0709497999
549.0,20,1.0712200999
550.0,20,1.0714903999
551.0,20,1.0717606999
552.0,20,1.0720309999
553.0,20,1.0723012999
554.0,20,1.0725715999
555.0,20,1.0728418999
556.0,20,1.0731121999
557.0,20,1.0733824999
558.0,20,1.0736527999
559.0,20,1.0739230999
560.0,20,1.0741933999
561.0,20,1.0744636999
562.0,20,1.0747339999
563.0,20,1.0750042999
564.0,20,1.0752745999
565.0,20,1.0755448999
566.0,20,1.0758151999
567.0,20,1.0760854999
568.0,20,1.0763557999
569.0,20,1.0766260999
570.0,20,1.0768963999
571.0,20,1.0771666999
572.0,20,1.0774369999
573.0,20,1.0777072999
574.0,20,1.0779775999
575.0,20,1.0782478999
576.0,20,1.0785181999
577.0,20,1.0787884999
578.0,20,1.0790587999
579.0,20,1.0793290999
580.0,20,1.0795993999
581.0,20,1.0798696999
582.0,20,1.0801399999
583.0,20,1.0804102999
584.0,20,1.0806805999
585.0,20,1.0809508999
586.0,20,1.0812211999
587.0,20,1.0814914999
588.0,20,1.0817617999
589.0,20,1.0820320999
590.0,20,1.0823023999
591.0,20,1.0825726999
592.0,20,1.0828429999
593.0,20,1.0831132999
594.0,20,1.0833835999
595.0,20,1.0836538999
596.0,20,1.0839241999
597.0,20,1.0841944999
598.0,20,1.0844647999
599.0,20,1.0847350999
600.0,20,1.0850053999
601.0,20,1.0852756999
602.0,20,1.0855459999
603.0,20,1.0858162999
604.0,20,1.0860865999
605.0,20,1.0863568999
606.0,20,1.0866271999
607.0,20,1.0868974999
608.0,20,1.0871677999
609.0,20,1.0874380999
610.0,20,1.0877083999
611.0,20,1.0879786999
612.0,20,1.0882489999
613.0,20,1.0885192999
614.0,20,1.0887895999
615.0,20,1.0890598999
616.0,20,1.0893301999
617.0,20,1.0896004999
618.0,20,1.0898707999
619.0,20,1.0901410999
620.0,20,1.0904113999
621.0,20,1.0906816999
622.0,20,1.0909519999
623.0,20,1.0912222999
624.0,20,1.0914925999
625.0,20,1.0917628999
626.0,20,1.0920331999
627.0,20,1.0923034999
628.0,20,1.0925737999
629.0,20,1.0928440999
630.0,20,1.0931143999
631.0,20,1.0933846999
632.0,20,1.0936549999
633.0,20,1.0939252999
634.0,20,1.0941955999
635.0,20,1.0944658999
636.0,20,1.0947361999
637.0,20,1.0950064999
638.0,20,1.0952767999
639.0,20,1.0955470999
640.0,20,1.0958173999
641.0,20,1.0960876999
642.0,20,1.0963579999
643.0,20,1.0966282999
644.0,20,1.0968985999
645.0,20,1.0971688999
646.0,20,1.0974391999
647.0,20,1.0977094999
648.0,20,1.0979797999
649.0,20,1.0982500999
650.0,20,1.0985203999
651.0,20,1.0987906999
652.0,20,1.0990609999
653.0,20,1.0993312999
654.0,20,1.0996015999
655.0,20,1.0998718999
656.0,20,1.1001421999
657.0,20,1.1004124999
658.0,20,1.1006827999
659.0,20,1.1009530999
660.0,20,1.1012233999
661.0,20,1.1014936999
662.0,20,1.1017639999
663.0,20,1.1020342999
664.0,20,1.1023045999
665.0,20,1.1025748999
666.0,20,1.1028451999
667.0,20,1.1031154999
668.0,20,1.1033857999
669.0,20,1.1036560999
670.0,20,1.1039263999
671.0,20,1.1041966999
672.0,20,1.1044669999
673.0,20,1.1047372999
674.0,20,1.1050075999
675.0,20,1.1052778999
676.0,20,1.1055481999
677.0,20,1.1058184999
678.0,20,1.1060887999
679.0,20,1.1063590999
680.0,20,1.1066293999
681.0,20,1.1068996999
682.0,20,1.1071699999
683.0,20,1.1074402999
684.0,20,1.1077105999
685.0,20,1.1079808999
686.0,20,1.1082511999
687.0,20,1.1085214999
